1,758,7
2,356,88
3,594,83
4,814,85
5,695,29
6,157,52
7,150,80
8,871,62
9,67,47
10,722,28
11,499,61
12,986,95
13,63,13
14,175,65
15,890,51
16,54,17
17,110,48
18,218,51
19,44,15
20,31,91
21,98,41
22,652,46
23,639,100
24,382,81
25,314,95
26,515,16
27,45,11
28,593,97
29,570,53
30,710,46
31,192,5
32,83,17
33,874,45
34,149,53
35,961,11
36,254,86
37,113,75
38,372,86
39,737,61
40,821,97
41,311,43
42,376,99
43,131,100
44,956,43
45,256,24
46,110,8
47,11,11
48,946,27
49,193,72
50,390,94
51,302,6
52,309,46
53,662,52
54,162,57
55,723,75
56,451,37
57,406,64
58,381,10
59,771,18
60,793,20
61,93,31
62,482,41
63,252,89
64,483,22
65,912,71
66,716,15
67,338,5
68,626,48
69,385,30
70,242,55
71,756,20
72,608,95
73,687,8
74,957,40
75,482,49
76,968,81
77,826,42
78,283,18
79,417,7
80,178,68
81,114,92
82,146,77
83,736,90
84,834,60
85,48,89
86,954,50
87,510,9
88,847,6
89,470,10
90,282,86
91,442,51
92,545,93
93,684,94
94,99,95
95,371,59
96,214,74
97,925,10
98,536,22
99,314,96
100,848,19
101,243,70
102,157,59
103,264,75
104,93,76
105,863,76
106,375,42
107,469,56
108,166,82
109,990,93
110,814,46
111,801,68
112,649,55
113,295,10
114,560,90
115,150,15
116,939,9
117,17,92
118,308,65
119,901,6
120,815,95
121,497,92
122,156,97
123,629,96
124,442,88
125,185,97
126,127,49
127,77,59
128,337,60
129,568,72
130,431,8
131,914,92
132,628,14
133,805,60
134,323,43
135,50,17
136,169,20
137,55,25
138,193,37
139,300,52
140,292,43
141,293,75
142,554,67
143,544,82
144,701,27
145,636,74
146,786,46
147,736,25
148,920,88
149,23,88
150,56,68
151,320,63
152,842,20
153,13,77
154,596,23
155,81,44
156,192,13
157,133,97
158,913,17
159,434,26
160,293,36
161,402,76
162,727,20
163,222,22
164,134,35
165,445,15
166,944,78
167,145,46
168,805,69
169,878,29
170,242,19
171,631,75
172,270,17
173,98,45
174,912,53
175,338,40
176,523,66
177,83,80
178,261,82
179,870,44
180,546,96
181,444,47
182,201,27
183,70,100
184,438,50
185,176,54
186,913,9
187,838,19
188,180,65
189,585,76
190,35,73
191,126,31
192,133,43
193,843,44
194,684,21
195,489,82
196,369,28
197,732,36
198,347,11
199,611,94
200,499,49
201,677,32
202,227,5
203,145,64
204,482,96
205,588,32
206,836,40
207,977,21
208,370,99
209,752,17
210,30,21
211,220,49
212,419,38
213,5,92
214,297,46
215,96,32
216,285,72
217,1,35
218,141,19
219,390,10
220,222,80
221,650,74
222,279,22
223,11,63
224,420,91
225,65,74
226,805,79
227,184,41
228,677,95
229,326,72
230,72,66
231,812,74
232,145,5
233,50,28
234,128,49
235,215,43
236,835,91
237,307,76
238,766,39
239,588,92
240,306,31
241,797,94
242,916,10
243,832,9
244,466,35
245,35,55
246,687,56
247,266,31
248,243,76
249,914,21
250,179,100
251,741,34
252,829,39
253,673,70
254,306,53
255,290,63
256,514,31
257,377,100
258,380,93
259,311,43
260,239,26
261,179,22
262,679,91
263,939,99
264,762,70
265,121,46
266,995,89
267,190,43
268,674,49
269,88,31
270,795,15
271,213,10
272,398,98
273,140,10
274,433,42
275,240,89
276,43,78
277,584,27
278,740,6
279,337,64
280,261,96
281,49,63
282,863,67
283,652,19
284,638,68
285,633,55
286,315,14
287,767,5
288,826,28
289,158,63
290,624,76
291,980,25
292,161,66
293,506,89
294,9,50
295,974,36
296,257,90
297,346,22
298,599,45
299,503,31
300,642,27
301,582,49
302,845,56
303,878,26
304,845,37
305,342,72
306,198,81
